Name,Price (ETH),Transactions,Owner
Matt Damon,16.4801,52,maui2020
Justin Trudeau,20.16182,35,jzou
Jack Gleeson,11.01082,28,larssonSandwich
Gwendoline Christie,9.00015,27,Taz
Iwan Rheon,11.01082,28,Green
Kristian Nairn,11.01082,28,brittuf
Aidan Gillen,9.00015,27,jiangj22
Alfie Allen,11.01082,28,admin
Iain Glen,9.00015,27,Zhongchou
John Bradley West,11.01082,28,wil
Maisie Williams,13.47069,29,youbigmeanie
Nikolaj Coster,11.01082,28,HelionRise
Sophie Turner,13.47069,29,teillon
Kit Harington,20.16182,31,takdongil
Emilia Clarke,16.4801,30,Davicio
Peter Dinklage,16.4801,30,Pravitel
